Graph,Vertices,Edges,Solver,Time elapsed,Memory usage,Success,Colors
rgg_n_2_17_s0.graph.fast,131072,1479376,RandomSelectionSolver (2 threads),48.91,0.00,1,17
rgg_n_2_17_s0.graph.fast,131072,1479376,RandomSelectionSolver (4 threads),37.96,8.00,1,16
rgg_n_2_18_s0.graph.fast,262144,3116511,SequentialSolver,217.96,8.13,1,18
rgg_n_2_18_s0.graph.fast,262144,3116511,LubySolver (1 threads),2068.43,13.92,1,18
rgg_n_2_18_s0.graph.fast,262144,3116511,LubySolver (2 threads),1754.22,8.86,1,19
rgg_n_2_18_s0.graph.fast,262144,3116511,LubySolver (4 threads),1652.04,16.26,1,19
rgg_n_2_18_s0.graph.fast,262144,3116511,JonesSolver (1 threads),203.12,0.00,1,19
rgg_n_2_18_s0.graph.fast,262144,3116511,JonesSolver (2 threads),151.97,0.00,1,19
rgg_n_2_18_s0.graph.fast,262144,3116511,JonesSolver (4 threads),143.96,8.00,1,19
rgg_n_2_18_s0.graph.fast,262144,3116511,SDLSolver (1 threads),193.50,1.38,1,19
rgg_n_2_18_s0.graph.fast,262144,3116511,SDLSolver (2 threads),100.93,0.62,1,19
rgg_n_2_18_s0.graph.fast,262144,3116511,SDLSolver (4 threads),81.55,8.50,1,19
rgg_n_2_18_s0.graph.fast,262144,3116511,LDFSolver (1 threads),208.87,1.12,1,17
rgg_n_2_18_s0.graph.fast,262144,3116511,LDFSolver (2 threads),104.93,0.38,1,17
rgg_n_2_18_s0.graph.fast,262144,3116511,LDFSolver (4 threads),81.31,8.00,1,17
rgg_n_2_18_s0.graph.fast,262144,3116511,FVFSolver (1 threads),151.67,0.00,1,18
rgg_n_2_18_s0.graph.fast,262144,3116511,FVFSolver (2 threads),80.74,0.00,1,18
rgg_n_2_18_s0.graph.fast,262144,3116511,FVFSolver (4 threads),71.13,8.00,1,18
rgg_n_2_18_s0.graph.fast,262144,3116511,RandomSelectionSolver (1 threads),237.78,0.25,1,18
rgg_n_2_18_s0.graph.fast,262144,3116511,RandomSelectionSolver (2 threads),116.90,0.00,1,18
rgg_n_2_18_s0.graph.fast,262144,3116511,RandomSelectionSolver (4 threads),85.52,8.00,1,19
rgg_n_2_19_s0.graph.fast,524288,6561433,SequentialSolver,547.57,8.13,1,19
rgg_n_2_19_s0.graph.fast,524288,6561433,LubySolver (1 threads),4612.22,34.95,1,19
rgg_n_2_19_s0.graph.fast,524288,6561433,LubySolver (2 threads),3989.20,8.13,1,19
rgg_n_2_19_s0.graph.fast,524288,6561433,LubySolver (4 threads),3676.37,16.26,1,19
rgg_n_2_19_s0.graph.fast,524288,6561433,JonesSolver (1 threads),435.67,0.00,1,19
rgg_n_2_19_s0.graph.fast,524288,6561433,JonesSolver (2 threads),317.63,0.00,1,19
rgg_n_2_19_s0.graph.fast,524288,6561433,JonesSolver (4 threads),284.75,8.00,1,19
rgg_n_2_19_s0.graph.fast,524288,6561433,SDLSolver (1 threads),420.48,2.88,1,20
rgg_n_2_19_s0.graph.fast,524288,6561433,SDLSolver (2 threads),217.41,1.25,1,20
rgg_n_2_19_s0.graph.fast,524288,6561433,SDLSolver (4 threads),181.28,9.25,1,20
rgg_n_2_19_s0.graph.fast,524288,6561433,LDFSolver (1 threads),448.87,1.50,1,19
rgg_n_2_19_s0.graph.fast,524288,6561433,LDFSolver (2 threads),242.54,0.75,1,19
rgg_n_2_19_s0.graph.fast,524288,6561433,LDFSolver (4 threads),185.19,8.62,1,19
rgg_n_2_19_s0.graph.fast,524288,6561433,FVFSolver (1 threads),311.66,0.00,1,20
rgg_n_2_19_s0.graph.fast,524288,6561433,FVFSolver (2 threads),156.26,0.00,1,20
rgg_n_2_19_s0.graph.fast,524288,6561433,FVFSolver (4 threads),132.78,8.00,1,20
rgg_n_2_19_s0.graph.fast,524288,6561433,RandomSelectionSolver (1 threads),586.14,1.25,1,19
rgg_n_2_19_s0.graph.fast,524288,6561433,RandomSelectionSolver (2 threads),301.85,0.00,1,19
rgg_n_2_19_s0.graph.fast,524288,6561433,RandomSelectionSolver (4 threads),198.10,8.00,1,19
rgg_n_2_20_s0.graph.fast,1048576,13805120,SequentialSolver,1494.58,8.13,1,22
rgg_n_2_20_s0.graph.fast,1048576,13805120,LubySolver (1 threads),10234.73,23.06,1,20
rgg_n_2_20_s0.graph.fast,1048576,13805120,LubySolver (2 threads),8770.99,8.25,1,20
rgg_n_2_20_s0.graph.fast,1048576,13805120,LubySolver (4 threads),8472.11,16.64,1,21
rgg_n_2_20_s0.graph.fast,1048576,13805120,JonesSolver (1 threads),962.93,0.00,1,20
rgg_n_2_20_s0.graph.fast,1048576,13805120,JonesSolver (2 threads),637.02,0.00,1,20
rgg_n_2_20_s0.graph.fast,1048576,13805120,JonesSolver (4 threads),564.62,8.00,1,20
rgg_n_2_20_s0.graph.fast,1048576,13805120,SDLSolver (1 threads),910.87,5.88,1,20
rgg_n_2_20_s0.graph.fast,1048576,13805120,SDLSolver (2 threads),518.41,2.88,1,20
rgg_n_2_20_s0.graph.fast,1048576,13805120,SDLSolver (4 threads),376.95,10.25,1,20
rgg_n_2_20_s0.graph.fast,1048576,13805120,LDFSolver (1 threads),989.54,4.50,1,19
rgg_n_2_20_s0.graph.fast,1048576,13805120,LDFSolver (2 threads),517.18,0.00,1,19
rgg_n_2_20_s0.graph.fast,1048576,13805120,LDFSolver (4 threads),403.53,8.00,1,19
rgg_n_2_20_s0.graph.fast,1048576,13805120,FVFSolver (1 threads),654.44,0.00,1,19
rgg_n_2_20_s0.graph.fast,1048576,13805120,FVFSolver (2 threads),331.33,0.00,1,19
rgg_n_2_20_s0.graph.fast,1048576,13805120,FVFSolver (4 threads),295.61,8.00,1,19
rgg_n_2_20_s0.graph.fast,1048576,13805120,RandomSelectionSolver (1 threads),1549.05,0.00,1,22
rgg_n_2_20_s0.graph.fast,1048576,13805120,RandomSelectionSolver (2 threads),759.03,0.00,1,20
rgg_n_2_20_s0.graph.fast,1048576,13805120,RandomSelectionSolver (4 threads),498.16,8.00,1,21
